Name,Category,Price,Rating
Acer Aspire 5,Laptop,549.99,4.2
Dell XPS 13,Laptop,1099.99,4.7
HP Spectre x360,Laptop,1399.99,4.6
Lenovo ThinkPad X1, Laptop, 1200.00, 4.5
MacBook Pro 16",Laptop,2399.00,4.8
Asus ROG Strix,Gaming Laptop,1599.99,4.4
Microsoft Surface 4,Laptop,1299.99,4.3
Alienware m15,Gaming Laptop,1999.99,4.5
Apple iPh 13,Phone,799.99,4.7
Samsung Galaxy S22,Phone,899.99,4.6
OnePlus 9 Pro,Phone,1069.99,4.5
Google Pixel 6,Phone,699.99,4.4
Xiaomi Mi 11,Phone,749.99,4.3
Sony Xperia 1 II,Phone,1199.99,4.2
Oppo Find X3,Phone,849.99,4.1
Nokia 8.3 5G,Phone,499.99,4.0
Samsung Galaxy Buds Pro,Headphone,199.99,4.5
Apple AirPods Pro,Headphone,249.99,4.8
Bose QuietComfort 35 II,Headphone,299.99,4.7
Sony WH-1000XM4,Headphone,348.00,4.8
JBL Flip 5,Speaker,99.99,4.6
Ultimate Ears BOOM 3,Speaker,129.99,4.5
Bose SoundLink Flex,Speaker,149.99,4.6
Sony SRS-XB12,Speaker,58.99,4.4
Canon EOS 90D,Camera,1299.99,4.7
Nikon D7500,Camera,849.99,4.6
Sony Alpha A7 III,Camera,1999.99,4.8
Fujifilm X-T4,Camera,1699.99,4.7
GoPro HERO 10,Camera,499.99,4.5
Microsoft Xbox Series X,Console,499.99,4.6
Sony PlayStation 5,Console,699.99,4.7
Nintendo Switch,Console,299.99,4.5
Fitbit Charge 5,Fitness Tracker,149.99,4.3
Garmin Forerunner 245,Fitness Tracker,249.99,4.4
Apple Watch Series 7,Smartwatch,399.99,4.6
Samsung Galaxy Watch 4,Smartwatch,249.99,4.5
